Year;Month;Trimestre;IPC
1990;1;1;2.434865
1990;2;1;3.93402
1990;3;1;7.69202
1990;4;2;8.566803
1990;5;2;9.732525
1990;6;2;11.08514
1990;7;3;12.28515
1990;8;3;14.16941
1990;9;3;16.3908
1990;10;4;17.65132
1990;11;4;18.74228
1990;12;4;19.61872
1991;1;1;21.1291
1991;2;1;26.83193
1991;3;1;29.79479
1991;4;2;31.43665
1991;5;2;32.31829
1991;6;2;33.32783
1991;7;3;34.19136
1991;8;3;34.63615
1991;9;3;35.24798
1991;10;4;35.72411
1991;11;4;35.86305
1991;12;4;36.09588
1992;1;1;37.19415
1992;2;1;37.99533
1992;3;1;38.79308
1992;4;2;39.29225
1992;5;2;39.55671
1992;6;2;39.86687
1992;7;3;40.55609
1992;8;3;41.16307
1992;9;3;41.58859
1992;10;4;42.11506
1992;11;4;42.30919
1992;12;4;42.42922
1993;1;1;42.78239
1993;2;1;43.09489
1993;3;1;43.4189
1993;4;2;43.87277
1993;5;2;44.43722
1993;6;2;44.75686
1993;7;3;44.90084
1993;8;3;44.90804
1993;9;3;45.27812
1993;10;4;45.53407
1993;11;4;45.5601
1993;12;4;45.55412
1994;1;1;45.59999
1994;2;1;45.59838
1994;3;1;45.66194
1994;4;2;45.77309
1994;5;2;45.93174
1994;6;2;46.10949
1994;7;3;46.53519
1994;8;3;46.6312
1994;9;3;46.95035
1994;10;4;47.1008
1994;11;4;47.20729
1994;12;4;47.30995
1995;1;1;47.89942
1995;2;1;47.89811
1995;3;1;47.68291
1995;4;2;47.90098
1995;5;2;47.91105
1995;6;2;47.81238
1995;7;3;48.00636
1995;8;3;47.89002
1995;9;3;47.96877
1995;10;4;48.13185
1995;11;4;48.02191
1995;12;4;48.07058
1996;1;1;48.21469
1996;2;1;48.05801
1996;3;1;47.79874
1996;4;2;47.79947
1996;5;2;47.75684
1996;6;2;47.75808
1996;7;3;48.01702
1996;8;3;47.97983
1996;9;3;48.06695
1996;10;4;48.30925
1996;11;4;48.23422
1996;12;4;48.09669
1997;1;1;48.32133
1997;2;1;48.50713
1997;3;1;48.26801
1997;4;2;48.10848
1997;5;2;48.06856
1997;6;2;48.17801
1997;7;3;48.28507
1997;8;3;48.36453
1997;9;3;48.34137
1997;10;4;48.26564
1997;11;4;48.17236
1997;12;4;48.25444
1998;1;1;48.55776
1998;2;1;48.72707
1998;3;1;48.66586
1998;4;2;48.67135
1998;5;2;48.6366
1998;6;2;48.72905
1998;7;3;48.88135
1998;8;3;48.89122
1998;9;3;48.8761
1998;10;4;48.69729
1998;11;4;48.58166
1998;12;4;48.57508
1999;1;1;48.80407
1999;2;1;48.72567
1999;3;1;48.35983
1999;4;2;48.31247
1999;5;2;48.0746
1999;6;2;48.07168
1999;7;3;48.16103
1999;8;3;47.97974
1999;9;3;47.88415
1999;10;4;47.87666
1999;11;4;47.72533
1999;12;4;47.69565
2000;1;1;48.09879
2000;2;1;48.10076
2000;3;1;47.84662
2000;4;2;47.79282
2000;5;2;47.60705
2000;6;2;47.51903
2000;7;3;47.72541
2000;8;3;47.62273
2000;9;3;47.5496
2000;10;4;47.63481
2000;11;4;47.40065
2000;12;4;47.34766
2001;1;1;47.38574
2001;2;1;47.2778
2001;3;1;47.36788
2001;4;2;47.68451
2001;5;2;47.71537
2001;6;2;47.37121
2001;7;3;47.21627
2001;8;3;47.0474
2001;9;3;47.01178
2001;10;4;46.80438
2001;11;4;46.65088
2001;12;4;46.61541
2002;1;1;47.68412
2002;2;1;49.18163
2002;3;1;51.127
2002;4;2;56.4384
2002;5;2;58.702
2002;6;2;60.8282
2002;7;3;62.7678
2002;8;3;64.2378
2002;9;3;65.1055
2002;10;4;65.2478
2002;11;4;65.58
2002;12;4;65.7028
2003;1;1;66.5696
2003;2;1;66.9464
2003;3;1;67.3372
2003;4;2;67.3744
2003;5;2;67.116
2003;6;2;67.0585
2003;7;3;67.3563
2003;8;3;67.3727
2003;9;3;67.3994
2003;10;4;67.7967
2003;11;4;67.9639
2003;12;4;68.1082
2004;1;1;68.3945
2004;2;1;68.4633
2004;3;1;68.8695
2004;4;2;69.4604
2004;5;2;69.9679
2004;6;2;70.3639
2004;7;3;70.6882
2004;8;3;70.931
2004;9;3;71.3774
2004;10;4;71.6599
2004;11;4;71.6615
2004;12;4;72.2606
2005;1;1;73.3343
2005;2;1;74.028
2005;3;1;75.1723
2005;4;2;75.5409
2005;5;2;75.9947
2005;6;2;76.6907
2005;7;3;77.4608
2005;8;3;77.7992
2005;9;3;78.704
2005;10;4;79.319
2005;11;4;80.2759
2005;12;4;81.1696
2006;1;1;82.2052
2006;2;1;82.531
2006;3;1;83.5258
2006;4;2;84.3381
2006;5;2;84.7328
2006;6;2;85.1431
2006;7;3;85.6685
2006;8;3;86.1504
2006;9;3;86.9252
2006;10;4;87.6692
2006;11;4;88.2896
2006;12;4;89.727266
2007;1;1;90.727994
2007;2;1;91.327022
2007;3;1;92.278418
2007;4;2;94.371491
2007;5;2;96.33771
2007;6;2;98.89591
2007;7;3;101.418872
2007;8;3;104.787521
2007;9;3;106.887641
2007;10;4;108.416923
2007;11;4;107.979985
2007;12;4;109.037092
2008;1;1;111.242923
2008;2;1;113.730649
2008;3;1;118.353731
2008;4;2;121.891517
2008;5;2;122.194554
2008;6;2;125.154455
2008;7;3;126.909253
2008;8;3;127.945218
2008;9;3;129.326505
2008;10;4;130.080574
2008;11;4;130.912166
2008;12;4;131.497098
2009;1;1;133.019333
2009;2;1;133.005238
2009;3;1;136.113133
2009;4;2;138.593812
2009;5;2;139.791867
2009;6;2;140.531842
2009;7;3;141.941318
2009;8;3;144.577039
2009;9;3;146.804012
2009;10;4;149.242406
2009;11;4;150.95492
2009;12;4;155.789423
2010;1;1;159.242641
2010;2;1;166.177264
2010;3;1;170.546641
2010;4;2;172.879325
2010;5;2;175.613709
2010;6;2;177.523549
2010;7;3;180.124033
2010;8;3;182.033874
2010;9;3;184.9233
2010;10;4;190.962906
2010;11;4;194.585261
2010;12;4;197.89753
2011;1;1;200.075171
2011;2;1;202.23167
2011;3;1;207.608822
2011;4;2;213.000069
2011;5;2;216.706992
2011;6;2;219.96993
2011;7;3;223.796658
2011;8;3;229.237237
2011;9;3;233.634804
2011;10;4;236.207098
2011;11;4;239.491178
2011;12;4;243.959218
2012;1;1;246.778171
2012;2;1;250.407572
2012;3;1;258.89262
2012;4;2;264.072446
2012;5;2;269.111324
2012;6;2;272.705489
2012;7;3;279.478023
2012;8;3;282.332212
2012;9;3;286.772063
2012;10;4;291.056871
2012;11;4;296.582018
2012;12;4;300.084567
2013;1;1;305.088208
2013;2;1;312.734618
2013;3;1;320.47969
2013;4;2;325.715895
2013;5;2;331.938733
2013;6;2;339.72609
2013;7;3;347.414784
2013;8;3;354.011133
2013;9;3;360.741383
2013;10;4;372.813548
2013;11;4;383.462142
2013;12;4;395.943055
2014;1;1;412.51145
2014;2;1;442.096359
2014;3;1;459.764145
2014;4;2;469.249921
2014;5;2;481.223423
2014;6;2;489.884656
2014;7;3;499.525474
2014;8;3;512.083908
2014;9;3;527.926423
2014;10;4;534.550962
2014;11;4;542.394698
2014;12;4;550.393476
2015;1;1;558.67415
2015;2;1;569.858345
2015;3;1;581.578141
2015;4;2;592.184451
2015;5;2;603.777394
2015;6;2;610.479454
2015;7;3;624.546028
2015;8;3;636.505435
2015;9;3;652.044912
2015;10;4;661.065561
2015;11;4;680.04416
2015;12;4;724.146676
2016;1;1;754.506797
2016;2;1;774.972394
2016;3;1;798.038475
2016;4;2;825.128611
2016;5;2;859.729341
2016;6;2;886.173853
2016;7;3;904.311644
2016;8;3;906.137965
2016;9;3;916.550793
2016;10;4;938.175285
2016;11;4;953.358931
2016;12;4;964.776091
2017;1;1;977.443601
2017;2;1;1001.519588
2017;3;1;1025.197123
2017;4;2;1052.197347
2017;5;2;1065.698423
2017;6;2;1080.49423
2017;7;3;1099.071958
2017;8;3;1115.311069
2017;9;3;1138.103904
2017;10;4;1152.892957
2017;11;4;1166.357372
2017;12;4;1206.348306
2018;1;1;1225.407458
2018;2;1;1257.019311
2018;3;1;1288.003095
2018;4;2;1321.145083
2018;5;2;1346.634468
2018;6;2;1399.486832
2018;7;3;1438.652882
2018;8;3;1497.088405
2018;9;3;1596.610848
2018;10;4;1677.310509
2018;11;4;1725.762529
2018;12;4;1774.590812
2019;1;1;1824.619276
2019;2;1;1894.431438
2019;3;1;1985.199503
2019;4;2;2049.636898
2019;5;2;2111.695155
2019;6;2;2166.988402
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
